,10.1007/bf00703440
0,10.1007/s004210050268
1,10.1080/014311697216621
2,10.1111/j.1469-7793.1997.259bc.x
3,10.1136/bjsm.31.4.269
4,10.1146/annurev.ecolsys.28.1.621
5,10.1177/070674379704200909
6,10.1192/bjp.171.6.519
7,10.1210/jc.82.12.4020
