,3,Unnamed: 1,Unnamed: 2,Smith,Jane,Jane Smith,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,58,The University of Iowa Iowa City,,Smith,Elaine,Elaine Smith,,additional,,13
1,123,,,Smith,G. D.,G. D. Smith,,first,,38
2,137,"Health Psychology Research Unit, Department of Psychology, University of Bristol, Bristol BS8 1TN, UK",,Smith,Andrew,Andrew Smith,,first,,44
3,148,,,Smith,R.D.,R.D. Smith,,additional,,49
4,522,,,Smith,P.,P. Smith,,additional,,165
