
Number of DOIs: 10      Time: 18.61094069480896
Number of DOIs: 100      Time: 209.24734735488892
Number of DOIs: 200      Time: 415.61195373535156
Number of DOIs: 300      Time: 633.485921382904
Number of DOIs: 400      Time: 906.9906516075134
Number of DOIs: 500      Time: 1620.0307955741882
Number of DOIs: 600      Time: 2352.384945631027
Number of DOIs: 700      Time: 3155.148244380951
Number of DOIs: 800      Time: 3794.5097811222076
Number of DOIs: 900      Time: 4394.185934782028
