2,,,Doe,John,John Doe,,,,
1,,,Shah,Darpan,Darpan Shah,,,,
3,,,Smith,Jane,Jane Smith,,,,
58,The University of Iowa Iowa City,,Smith,Elaine,Elaine Smith,,additional,,13
123,,,Smith,G. D.,G. D. Smith,,first,,38
137,"Health Psychology Research Unit, Department of Psychology, University of Bristol, Bristol BS8 1TN, UK",,Smith,Andrew,Andrew Smith,,first,,44
148,,,Smith,R.D.,R.D. Smith,,additional,,49
522,,,Smith,P.,P. Smith,,additional,,165
